id_producto,id_cliente,tipo_producto,estado_producto,fecha_apertura,fecha_vencimiento,saldo_actual,limite_credito,tasa_interes,moneda,sucursal_apertura
40,88FFBC21,Préstamo Automotriz,Bloqueado,2023-04-05,2023-10-05,12092.26,26929.05,17.07,ARS,Sucursal 9 - Centro
41,88FFBC21,Cuenta Corriente,Moroso,2022-11-08,,96961.65,0,0,GBP,Sucursal 12 - Sur
42,88FFBC21,Préstamo Personal,Cerrado,2023-08-02,2025-01-11,24790.35,67365.71,14.85,MXN,Sucursal 17 - Norte
43,88FFBC21,Cuenta Corriente,Cerrado,2021-11-28,,72276.08,0,0,BRL,Sucursal 8 - Oeste
44,E93BF61A,Cuenta Corriente,Moroso,2023-09-02,,98399.09,0,0,JPY,Sucursal 20 - Este
45,E93BF61A,Préstamo Hipotecario,Bloqueado,2022-11-25,2025-11-18,43514.25,99699.04,1.72,PEN,Sucursal 17 - Norte
46,E93BF61A,Seguro Hogar,Activo,2018-06-28,,95120.29,0,0,COP,Sucursal 20 - Este
47,09EEE7F2,Inversión a Plazo,Inactivo,2022-04-14,2024-09-03,33379.27,0,20.25,MXN,Sucursal 4 - Norte
48,52E7254D,Leasing,En proceso de aprobación,2020-03-31,,43724.58,0,0,MXN,Sucursal 15 - Sur
49,52E7254D,Tarjeta Crédito,Bloqueado,2021-06-06,2023-07-19,3002.02,7107.4,3.4,COP,Sucursal 5 - Oeste
50,F806FF47,Inversión a Plazo,Vencido,2019-11-16,2020-02-01,57149.15,0,6.12,ARS,Sucursal 13 - Centro
51,F806FF47,Cuenta Corriente,Inactivo,2022-08-26,,53501.09,0,0,EUR,Sucursal 13 - Centro
52,F806FF47,Préstamo Hipotecario,Moroso,2020-09-28,2023-10-21,16240.56,33892.89,22.25,JPY,Sucursal 12 - Sur
53,F806FF47,Préstamo Personal,Activo,2019-03-17,2022-05-28,20816.04,33433.75,4.75,COP,Sucursal 11 - Centro
54,F806FF47,Préstamo Hipotecario,Inactivo,2019-01-30,2020-04-26,38938.92,103757.47,19.83,EUR,Sucursal 16 - Centro
55,CC24801D,Cuenta Corriente,Inactivo,2022-10-02,,12899.34,0,0,MXN,Sucursal 11 - Centro
56,CC24801D,Seguro Hogar,Moroso,2018-11-27,,21156.6,0,0,ARS,Sucursal 3 - Este
57,CC24801D,Cuenta Corriente,En proceso de aprobación,2019-04-26,,4687.59,0,0,JPY,Sucursal 13 - Centro
58,E5866C0A,Préstamo Personal,Inactivo,2019-02-13,2020-11-10,10835.87,19460.16,5.2,GBP,Sucursal 15 - Sur
59,12981616,Préstamo Personal,En proceso de aprobación,2018-09-08,2021-05-16,13903.07,29296.59,2.7,MXN,Sucursal 18 - Oeste
60,12981616,Préstamo Hipotecario,Moroso,2021-11-28,2025-02-13,35436.36,95161.34,16.75,ARS,Sucursal 11 - Centro
61,12981616,Seguro Automóvil,Activo,2021-12-22,,85992.06,0,0,CLP,Sucursal 5 - Oeste
62,12981616,Seguro Vida,Activo,2018-09-01,,8632.46,0,0,COP,Sucursal 20 - Este
63,12981616,Cuenta Ahorros,Vencido,2022-09-27,,32483.79,0,0,MXN,Sucursal 15 - Sur
64,FDD1694D,Préstamo Hipotecario,Activo,2019-11-17,2020-12-11,46301.44,56083.55,2.47,EUR,Sucursal 4 - Norte
65,FDD1694D,Préstamo Personal,En proceso de aprobación,2022-09-16,2027-04-15,48747.31,94504.85,6.67,BRL,Sucursal 15 - Sur
66,FEF01C2D,Seguro Automóvil,Activo,2020-12-27,,62712.65,0,0,COP,Sucursal 6 - Oeste
67,FEF01C2D,Cuenta Corriente,Moroso,2022-08-05,,46567.06,0,0,JPY,Sucursal 14 - Norte
68,59DA0FBD,Inversión a Plazo,Activo,2023-09-14,2026-06-30,99682.04,0,16.01,USD,Sucursal 9 - Centro
69,1B183DD3,Préstamo Automotriz,En proceso de aprobación,2018-08-29,2022-07-12,4693.87,8779.07,21.73,GBP,Sucursal 7 - Norte
70,1B183DD3,Inversión a Plazo,Vencido,2023-04-27,2024-06-12,94590.11,0,20.53,EUR,Sucursal 7 - Norte
71,6E364259,Préstamo Hipotecario,Vencido,2018-01-21,2019-11-29,45817.64,127457.31,15.07,JPY,Sucursal 14 - Norte
72,045AED3F,Cuenta Corriente,Vencido,2022-05-26,,46699.22,0,0,BRL,Sucursal 1 - Oeste
73,045AED3F,Seguro Vida,Cerrado,2022-12-21,,77831.62,0,0,ARS,Sucursal 8 - Oeste
74,CE7C9A56,Seguro Hogar,En proceso de aprobación,2022-10-21,,71043.59,0,0,CLP,Sucursal 3 - Este
75,CE7C9A56,Fondo Mutuo,Cerrado,2019-11-18,2021-05-01,65694.93,0,19.9,USD,Sucursal 16 - Centro
76,CE7C9A56,Préstamo Automotriz,Cerrado,2023-07-29,2026-04-29,5209.15,14684.92,3.08,CLP,Sucursal 9 - Centro
77,E8330B0B,Préstamo Personal,Vencido,2019-09-17,2024-04-26,20144.68,47038.14,10.36,PEN,Sucursal 16 - Centro
78,E8330B0B,Préstamo Hipotecario,Cancelado,2021-09-27,2026-02-02,36100.13,87498.25,1.91,GBP,Sucursal 4 - Norte
79,E8330B0B,Préstamo Automotriz,Cerrado,2021-12-15,2023-11-24,3362.44,7755.47,16.84,GBP,Sucursal 19 - Norte
80,E8330B0B,Préstamo Automotriz,Activo,2021-01-03,2024-01-04,37936.52,85109.79,14.39,COP,Sucursal 3 - Este
81,8C3F296C,Cuenta Ahorros,Inactivo,2022-10-29,,83546.84,0,0,BRL,Sucursal 7 - Norte
82,8C3F296C,CDT,Inactivo,2020-09-03,2021-04-30,63017.73,0,22.04,JPY,Sucursal 4 - Norte
83,8C3F296C,Cuenta Ahorros,En proceso de aprobación,2018-12-23,,27704.7,0,0,COP,Sucursal 2 - Sur
84,ED89CB6C,Seguro Vida,Moroso,2020-11-23,,97361.35,0,0,JPY,Sucursal 9 - Centro
85,6D2F2F6B,Seguro Vida,Moroso,2020-01-03,,53430.26,0,0,JPY,Sucursal 13 - Centro
86,6D2F2F6B,CDT,Inactivo,2020-01-03,2020-07-22,79386.92,0,21.29,COP,Sucursal 18 - Oeste
87,6D2F2F6B,Seguro Vida,Cancelado,2023-05-01,,20084.29,0,0,BRL,Sucursal 16 - Centro
88,6D2F2F6B,Seguro Vida,Activo,2020-02-14,,16200.71,0,0,CLP,Sucursal 6 - Oeste
89,D104CA4B,Seguro Vida,Activo,2019-06-28,,42549.73,0,0,GBP,Sucursal 18 - Oeste
90,0724A064,Préstamo Automotriz,Activo,2021-04-19,2026-01-31,28753.12,43374.33,21.72,EUR,Sucursal 18 - Oeste
91,0724A064,Inversión a Plazo,Cerrado,2018-06-30,2018-10-20,46372.8,0,5.91,JPY,Sucursal 8 - Oeste
92,9D43B971,Tarjeta Crédito,En proceso de aprobación,2021-06-11,2024-10-25,23430.68,33780.32,7.56,USD,Sucursal 6 - Oeste
93,9D43B971,Seguro Hogar,Cerrado,2023-07-05,,59426.82,0,0,CLP,Sucursal 19 - Norte
94,8B109A1A,Inversión a Plazo,Cancelado,2021-12-08,2023-04-03,5840.42,0,16.26,ARS,Sucursal 8 - Oeste
95,8B109A1A,Seguro Hogar,En proceso de aprobación,2019-02-07,,45726.7,0,0,MXN,Sucursal 20 - Este
96,8B109A1A,Cuenta Ahorros,Bloqueado,2023-05-22,,92046.28,0,0,MXN,Sucursal 1 - Oeste
97,675B5716,Préstamo Hipotecario,Moroso,2020-06-09,2023-05-19,8171.55,20299.08,22.66,MXN,Sucursal 5 - Oeste
98,675B5716,Préstamo Hipotecario,En proceso de aprobación,2018-04-27,2018-12-24,19839.15,51238.76,16.6,ARS,Sucursal 12 - Sur
99,3487681C,Préstamo Automotriz,Moroso,2020-06-29,2024-11-11,10032.88,20568.05,24.33,PEN,Sucursal 11 - Centro
100,0760E0BD,Inversión a Plazo,Activo,2021-12-18,2024-07-30,76241.29,0,21.81,USD,Sucursal 17 - Norte
101,0760E0BD,Fondo Mutuo,Cerrado,2018-10-15,2019-06-12,94519.14,0,11.14,GBP,Sucursal 14 - Norte
102,0760E0BD,Tarjeta Crédito,Moroso,2022-04-13,2025-08-25,26511.75,53902.22,1.52,PEN,Sucursal 3 - Este
103,7B7389AA,Cuenta Ahorros,Inactivo,2020-10-25,,67502.82,0,0,COP,Sucursal 4 - Norte
104,7B7389AA,Seguro Automóvil,Cerrado,2023-01-07,,39857.85,0,0,COP,Sucursal 3 - Este
105,7B7389AA,CDT,Inactivo,2020-07-15,2022-03-09,61305.08,0,0.96,MXN,Sucursal 1 - Oeste
106,7B7389AA,Leasing,Cerrado,2021-08-12,,16594.73,0,0,USD,Sucursal 18 - Oeste
107,C5A22CDE,Seguro Hogar,Vencido,2023-03-08,,4167.81,0,0,GBP,Sucursal 2 - Sur
108,C5A22CDE,Fondo Mutuo,Cancelado,2019-03-24,2019-09-17,638.41,0,23.84,PEN,Sucursal 10 - Norte
109,C5A22CDE,Préstamo Automotriz,Moroso,2019-08-16,2021-05-21,33771.83,92874.29,9.9,ARS,Sucursal 1 - Oeste
110,C5A22CDE,Fondo Mutuo,Vencido,2019-01-02,2020-03-25,31737.87,0,23.55,EUR,Sucursal 3 - Este
111,C5A22CDE,Tarjeta Crédito,Inactivo,2019-03-08,2023-05-18,6640.08,17935.57,0.86,PEN,Sucursal 12 - Sur
112,A57EA693,Inversión a Plazo,Cancelado,2023-09-02,2025-05-15,36699.65,0,12.45,ARS,Sucursal 3 - Este
113,A57EA693,Préstamo Automotriz,Moroso,2023-12-25,2025-02-14,34451.97,87405.63,6.11,GBP,Sucursal 18 - Oeste
114,A57EA693,Cuenta Ahorros,Cerrado,2020-07-04,,37917.41,0,0,GBP,Sucursal 16 - Centro
115,A57EA693,Leasing,Moroso,2023-06-01,,22855.52,0,0,GBP,Sucursal 15 - Sur
116,A57EA693,Leasing,Cancelado,2021-12-12,,37503.82,0,0,USD,Sucursal 7 - Norte
117,B385EC58,Leasing,Vencido,2022-12-18,,87224.59,0,0,USD,Sucursal 8 - Oeste
118,A96F44F8,Préstamo Automotriz,Moroso,2020-04-06,2022-09-16,31578.66,85964.01,1.04,COP,Sucursal 1 - Oeste
119,A96F44F8,CDT,Vencido,2019-11-03,2022-09-21,60140.1,0,19.98,EUR,Sucursal 13 - Centro
120,A96F44F8,Cuenta Corriente,Activo,2021-05-27,,1909.93,0,0,MXN,Sucursal 1 - Oeste
121,A96F44F8,Préstamo Automotriz,Cancelado,2022-09-15,2023-09-28,12360.31,33025.4,18.62,PEN,Sucursal 3 - Este
122,A96F44F8,Préstamo Automotriz,Bloqueado,2019-06-19,2023-11-12,38105.29,59795.57,5.35,COP,Sucursal 13 - Centro
123,8159DCDF,Inversión a Plazo,Cerrado,2022-12-15,2023-10-07,84669.27,0,13.55,BRL,Sucursal 15 - Sur
124,8159DCDF,Préstamo Hipotecario,Cancelado,2021-07-17,2026-06-03,47720.36,110807.9,23.99,PEN,Sucursal 17 - Norte
125,8159DCDF,Cuenta Corriente,Activo,2019-01-16,,58654.28,0,0,MXN,Sucursal 14 - Norte
126,8159DCDF,Préstamo Hipotecario,Cancelado,2020-09-05,2024-12-22,44582.37,60628.58,19.17,EUR,Sucursal 16 - Centro
127,3EFA110E,Seguro Hogar,Inactivo,2023-07-29,,23077.95,0,0,USD,Sucursal 4 - Norte
128,3EFA110E,Seguro Automóvil,Vencido,2021-01-05,,86542.98,0,0,CLP,Sucursal 20 - Este
129,3EFA110E,Inversión a Plazo,Inactivo,2019-09-21,2020-11-22,32684.67,0,0.99,GBP,Sucursal 4 - Norte
130,3EFA110E,Inversión a Plazo,Inactivo,2022-06-27,2023-01-20,4066.1,0,1.33,BRL,Sucursal 15 - Sur
131,3EFA110E,Seguro Vida,Moroso,2023-06-18,,24357.57,0,0,USD,Sucursal 6 - Oeste
132,C9E28871,Seguro Hogar,Vencido,2020-04-29,,27686.81,0,0,COP,Sucursal 12 - Sur
133,C9E28871,Seguro Hogar,Vencido,2022-09-23,,16332.37,0,0,JPY,Sucursal 4 - Norte
134,C9E28871,Fondo Mutuo,Cerrado,2022-03-15,2025-02-12,94172.21,0,6.65,CLP,Sucursal 14 - Norte
135,C9E28871,Seguro Hogar,Cerrado,2019-04-19,,47129.71,0,0,GBP,Sucursal 3 - Este
136,FAD20038,Seguro Vida,Cerrado,2020-11-20,,88041.39,0,0,COP,Sucursal 17 - Norte
137,FAD20038,Préstamo Personal,Inactivo,2023-01-30,2025-12-20,49182.37,116176.71,11.02,MXN,Sucursal 16 - Centro
138,E4EDF138,Préstamo Automotriz,Cancelado,2023-03-17,2025-07-10,24326.13,57888.85,4.71,COP,Sucursal 10 - Norte
139,E4EDF138,Préstamo Automotriz,Cerrado,2022-11-28,2023-10-18,34027.89,85468.96,10.23,GBP,Sucursal 5 - Oeste
140,E4EDF138,Préstamo Hipotecario,Inactivo,2021-02-17,2021-09-05,23572.72,44403.46,21.2,ARS,Sucursal 4 - Norte
141,C8FC772F,Préstamo Personal,Inactivo,2022-09-08,2024-04-24,35173.86,43376.06,0.84,GBP,Sucursal 11 - Centro
142,8FB888E2,Leasing,En proceso de aprobación,2018-09-18,,79754.53,0,0,GBP,Sucursal 5 - Oeste
143,8FB888E2,Tarjeta Crédito,Activo,2022-07-26,2023-08-08,12425.28,26975.7,9.87,JPY,Sucursal 1 - Oeste
144,8FB888E2,Préstamo Hipotecario,Moroso,2020-08-29,2021-06-24,7948.62,22661.13,12.9,EUR,Sucursal 13 - Centro
145,F5B05964,Seguro Automóvil,Vencido,2023-01-21,,18767.41,0,0,CLP,Sucursal 14 - Norte
146,48B8C8D2,Cuenta Corriente,Bloqueado,2018-06-14,,38069.06,0,0,MXN,Sucursal 7 - Norte
147,48B8C8D2,Seguro Vida,Moroso,2021-11-25,,99472.26,0,0,EUR,Sucursal 13 - Centro
148,F6BE5751,Seguro Vida,Cerrado,2022-08-20,,52036.25,0,0,PEN,Sucursal 9 - Centro
149,F6BE5751,Tarjeta Crédito,En proceso de aprobación,2020-06-08,2025-03-26,7801.34,10528.18,4.82,CLP,Sucursal 20 - Este
150,F6BE5751,Fondo Mutuo,Vencido,2021-05-08,2024-04-06,48211.23,0,9.41,JPY,Sucursal 18 - Oeste
151,F6BE5751,Seguro Vida,Activo,2020-09-12,,76177.16,0,0,MXN,Sucursal 3 - Este
152,F6BE5751,Leasing,Activo,2019-04-27,,49883.95,0,0,MXN,Sucursal 11 - Centro
153,77713961,Cuenta Corriente,Cancelado,2019-04-12,,34705.33,0,0,USD,Sucursal 19 - Norte
154,905296CD,Leasing,Moroso,2019-03-10,,26277.11,0,0,CLP,Sucursal 11 - Centro
155,905296CD,CDT,Cerrado,2022-03-14,2024-06-25,27584.11,0,1.96,USD,Sucursal 12 - Sur
156,905296CD,Inversión a Plazo,Moroso,2020-03-29,2022-12-24,47876.07,0,7.77,PEN,Sucursal 8 - Oeste
157,905296CD,Cuenta Ahorros,Inactivo,2018-12-10,,33812.56,0,0,COP,Sucursal 17 - Norte
158,905296CD,Inversión a Plazo,Activo,2019-11-18,2021-10-27,29779.25,0,16.55,ARS,Sucursal 8 - Oeste
159,0FECC7D7,Inversión a Plazo,Inactivo,2022-03-24,2024-04-08,57261.8,0,6.44,USD,Sucursal 11 - Centro
160,0FECC7D7,Tarjeta Crédito,Cancelado,2020-03-10,2024-02-13,42652.35,96353.62,9.36,JPY,Sucursal 16 - Centro
161,0FECC7D7,Cuenta Ahorros,Inactivo,2018-11-29,,43119.7,0,0,CLP,Sucursal 18 - Oeste
162,0FECC7D7,Seguro Vida,Bloqueado,2019-03-09,,95996.77,0,0,BRL,Sucursal 7 - Norte
163,0FECC7D7,Seguro Hogar,Activo,2019-06-30,,27823.38,0,0,MXN,Sucursal 12 - Sur
164,6E52C833,Seguro Automóvil,Activo,2018-04-13,,46460.52,0,0,ARS,Sucursal 6 - Oeste
165,6E52C833,Cuenta Corriente,Cancelado,2023-11-11,,99412.02,0,0,BRL,Sucursal 13 - Centro
166,6E52C833,Cuenta Corriente,Cancelado,2022-01-17,,22912.72,0,0,EUR,Sucursal 2 - Sur
167,41636CA4,Cuenta Corriente,Activo,2019-07-04,,79385.01,0,0,PEN,Sucursal 20 - Este
168,41636CA4,Inversión a Plazo,Vencido,2019-07-16,2021-07-09,56181.99,0,14.73,GBP,Sucursal 18 - Oeste
169,41636CA4,Préstamo Hipotecario,En proceso de aprobación,2018-12-29,2023-05-27,21728.66,27384.97,24.06,PEN,Sucursal 19 - Norte
170,41636CA4,Leasing,En proceso de aprobación,2019-02-13,,42767.28,0,0,PEN,Sucursal 10 - Norte
171,41636CA4,Préstamo Automotriz,Cerrado,2022-07-21,2025-04-04,41903.21,94793.63,21.03,MXN,Sucursal 17 - Norte
172,8E786141,Préstamo Hipotecario,Cancelado,2022-02-24,2026-01-08,23017.57,52836.18,15.92,GBP,Sucursal 17 - Norte
173,8E786141,Cuenta Corriente,Vencido,2018-11-27,,63333.87,0,0,CLP,Sucursal 13 - Centro
174,C3A841B8,Leasing,Cerrado,2022-03-06,,81714.19,0,0,MXN,Sucursal 16 - Centro
175,C3A841B8,Préstamo Hipotecario,Vencido,2018-12-16,2021-02-15,28321.28,77785.35,9.5,ARS,Sucursal 9 - Centro
176,EB664033,Cuenta Ahorros,En proceso de aprobación,2022-02-01,,53023.01,0,0,USD,Sucursal 4 - Norte
177,EB664033,Seguro Vida,Moroso,2018-04-18,,63134.26,0,0,MXN,Sucursal 15 - Sur
178,EB664033,Tarjeta Crédito,Moroso,2021-07-30,2024-02-16,33152.53,70048.3,6.49,JPY,Sucursal 20 - Este
179,5C2E561B,Fondo Mutuo,Vencido,2018-08-28,2021-02-06,7433.18,0,16.42,BRL,Sucursal 7 - Norte
180,5C2E561B,Inversión a Plazo,En proceso de aprobación,2018-02-09,2019-12-30,55136.19,0,12.47,BRL,Sucursal 5 - Oeste
181,3AF90E0C,CDT,Cancelado,2022-05-14,2023-02-06,80476.14,0,9.81,MXN,Sucursal 1 - Oeste
182,5AC1014E,CDT,Moroso,2021-10-01,2024-08-14,88069.24,0,11.75,CLP,Sucursal 11 - Centro
183,5AC1014E,Préstamo Automotriz,Inactivo,2018-02-22,2021-08-12,2542.9,5901.58,13.85,MXN,Sucursal 11 - Centro
184,5AC1014E,Leasing,Activo,2023-08-08,,10289.2,0,0,EUR,Sucursal 18 - Oeste
185,5AC1014E,Seguro Hogar,Inactivo,2021-09-02,,11410.82,0,0,EUR,Sucursal 3 - Este
186,5AC1014E,Cuenta Corriente,Moroso,2022-06-12,,65600.83,0,0,USD,Sucursal 12 - Sur
187,0BF615F3,Préstamo Personal,En proceso de aprobación,2023-05-09,2025-03-23,46868.07,89607.87,19.78,USD,Sucursal 20 - Este
188,0BF615F3,Cuenta Ahorros,Vencido,2021-02-09,,17034.33,0,0,JPY,Sucursal 11 - Centro
189,0BF615F3,Préstamo Hipotecario,Cerrado,2023-03-20,2024-10-01,33353.97,92160.34,8.9,COP,Sucursal 12 - Sur
190,1EF4F2E0,Fondo Mutuo,Moroso,2018-03-10,2020-04-28,53460.65,0,6.04,COP,Sucursal 1 - Oeste
191,1EF4F2E0,Préstamo Automotriz,Cancelado,2022-07-05,2026-08-27,46499.76,84074.1,20.2,EUR,Sucursal 10 - Norte
192,342DD546,Leasing,Bloqueado,2018-10-07,,7215.57,0,0,BRL,Sucursal 2 - Sur
193,7FA01A57,Seguro Hogar,Cerrado,2020-05-24,,87408.11,0,0,BRL,Sucursal 3 - Este
194,7FA01A57,Seguro Automóvil,Bloqueado,2019-11-20,,59691.3,0,0,JPY,Sucursal 3 - Este
195,048955E6,Leasing,Activo,2020-12-06,,98279.03,0,0,EUR,Sucursal 7 - Norte
196,048955E6,Inversión a Plazo,Activo,2021-08-06,2024-07-08,68269.89,0,11.25,COP,Sucursal 16 - Centro
197,048955E6,Seguro Hogar,Activo,2020-02-02,,21329.39,0,0,COP,Sucursal 7 - Norte
198,13CE672A,CDT,Inactivo,2019-07-24,2020-01-02,57156.51,0,21.52,USD,Sucursal 9 - Centro
199,13CE672A,CDT,Bloqueado,2019-12-01,2021-10-29,36814.51,0,2.71,GBP,Sucursal 2 - Sur
200,13CE672A,Cuenta Corriente,Bloqueado,2022-11-23,,79082.85,0,0,CLP,Sucursal 20 - Este
201,13CE672A,Seguro Vida,Cancelado,2021-12-16,,53461.44,0,0,USD,Sucursal 9 - Centro
202,13CE672A,Tarjeta Crédito,Moroso,2020-02-08,2023-11-28,5745.64,13942.37,6.58,PEN,Sucursal 11 - Centro
203,983CD515,Leasing,Activo,2022-10-12,,38631.21,0,0,ARS,Sucursal 3 - Este
204,983CD515,Seguro Automóvil,Cancelado,2022-01-07,,76396.24,0,0,EUR,Sucursal 10 - Norte
205,983CD515,Préstamo Personal,Vencido,2021-06-12,2025-12-25,37604.1,88706.06,21.0,COP,Sucursal 20 - Este
206,983CD515,Tarjeta Crédito,Cerrado,2019-01-15,2020-07-24,19838.3,25676.25,1.64,MXN,Sucursal 18 - Oeste
207,983CD515,Préstamo Hipotecario,Activo,2023-07-12,2027-01-02,23792.89,52895.3,24.06,GBP,Sucursal 1 - Oeste
208,F6AF330A,Cuenta Corriente,Vencido,2019-11-27,,64808.43,0,0,JPY,Sucursal 16 - Centro
209,4FD82F6A,Cuenta Ahorros,Moroso,2023-05-23,,52888.56,0,0,BRL,Sucursal 7 - Norte
210,4FD82F6A,Préstamo Personal,Activo,2022-01-29,2023-05-10,15113.84,33622.78,19.89,MXN,Sucursal 11 - Centro
211,4FD82F6A,Préstamo Hipotecario,Moroso,2023-04-25,2027-12-23,1024.53,2036.36,14.0,EUR,Sucursal 13 - Centro
212,4FD82F6A,Inversión a Plazo,Moroso,2021-10-06,2023-08-26,15159.74,0,22.8,GBP,Sucursal 3 - Este
213,4FD82F6A,Seguro Hogar,Moroso,2021-03-10,,81527.69,0,0,COP,Sucursal 11 - Centro
214,2EF892AB,CDT,En proceso de aprobación,2022-09-15,2022-11-05,37055.64,0,7.27,BRL,Sucursal 18 - Oeste
215,2EF892AB,Fondo Mutuo,Bloqueado,2023-01-31,2025-07-17,71778.41,0,1.51,GBP,Sucursal 5 - Oeste
216,2EF892AB,Préstamo Hipotecario,Cerrado,2023-08-27,2026-11-08,37607.49,98579.89,7.51,USD,Sucursal 16 - Centro
217,2EF892AB,Leasing,Bloqueado,2023-09-01,,78580.94,0,0,CLP,Sucursal 18 - Oeste
218,594FB13B,Préstamo Personal,Cerrado,2020-11-08,2025-03-07,33271.16,90612.81,16.65,CLP,Sucursal 5 - Oeste
219,594FB13B,Fondo Mutuo,Vencido,2021-05-04,2022-04-09,70818.78,0,17.49,EUR,Sucursal 12 - Sur
220,594FB13B,Inversión a Plazo,Vencido,2021-07-28,2023-12-27,63799.49,0,18.16,GBP,Sucursal 4 - Norte
221,594FB13B,Seguro Automóvil,Bloqueado,2019-08-24,,8897.7,0,0,CLP,Sucursal 14 - Norte
