id_pago,id_producto,id_cliente,numero_cuota,fecha_pago,monto_capital,monto_interes,monto_total,dias_mora,monto_mora,metodo_pago
158,49,52E7254D,51,2023-06-18,1274.38,546.16,1820.54,18,54.62,Transferencia
159,49,52E7254D,45,2023-05-30,948.93,406.69,1355.62,0,0,Efectivo
160,49,52E7254D,25,2022-12-09,546.52,234.22,780.74,20,26.02,Débito Automático
161,49,52E7254D,23,2022-06-03,1104.64,473.42,1578.06,0,0,Débito Automático
162,49,52E7254D,33,2022-06-27,389.56,166.96,556.52,36,33.39,Efectivo
163,49,52E7254D,18,2023-10-17,617.92,264.82,882.75,0,0,Banca Móvil
164,49,52E7254D,12,2022-09-03,692.66,296.86,989.52,48,79.16,Débito Automático
165,49,52E7254D,18,2023-11-21,492.91,211.25,704.16,2,2.35,Débito Automático
166,49,52E7254D,55,2023-03-02,1391.38,596.31,1987.69,47,155.7,Débito Automático
167,49,52E7254D,27,2022-03-19,73.68,31.58,105.26,0,0,Transferencia
168,49,52E7254D,25,2023-07-10,390.44,167.33,557.77,0,0,Transferencia
169,49,52E7254D,58,2022-03-28,1264.93,542.12,1807.05,0,0,Transferencia
170,49,52E7254D,36,2022-05-30,807.69,346.15,1153.84,48,92.31,Banca Móvil
171,49,52E7254D,45,2022-02-10,225.71,96.73,322.45,28,15.05,Efectivo
172,49,52E7254D,36,2022-07-10,211.03,90.44,301.47,0,0,Banca Móvil
173,49,52E7254D,18,2023-03-12,175.81,75.34,251.15,0,0,Banca Móvil
174,49,52E7254D,47,2022-01-30,139.44,59.76,199.2,0,0,Banca Móvil
175,49,52E7254D,27,2023-01-26,1290.72,553.16,1843.88,0,0,Transferencia
176,49,52E7254D,4,2023-01-23,520.62,223.12,743.75,0,0,Débito Automático
177,49,52E7254D,47,2023-08-28,252.34,108.15,360.49,0,0,Cheque
178,52,F806FF47,29,2022-06-12,465.89,199.67,665.56,0,0,Cheque
179,52,F806FF47,40,2023-12-19,974.57,417.68,1392.25,0,0,Débito Automático
180,53,F806FF47,56,2023-01-02,104.89,44.95,149.85,0,0,Cheque
181,53,F806FF47,48,2022-03-23,1120.37,480.16,1600.53,17,45.35,Banca Móvil
182,53,F806FF47,57,2023-01-07,861.9,369.38,1231.28,0,0,Débito Automático
183,53,F806FF47,4,2022-11-11,735.8,315.34,1051.14,0,0,Banca Móvil
184,53,F806FF47,59,2022-05-09,1388.83,595.21,1984.05,0,0,Transferencia
185,53,F806FF47,21,2023-03-07,342.68,146.86,489.54,0,0,Débito Automático
186,53,F806FF47,24,2023-05-28,539.41,231.17,770.58,0,0,Débito Automático
187,53,F806FF47,16,2022-06-23,139.78,59.91,199.69,51,16.97,Transferencia
188,53,F806FF47,51,2023-05-20,981.89,420.81,1402.7,10,23.38,Débito Automático
189,53,F806FF47,26,2023-07-26,999.45,428.34,1427.79,0,0,Débito Automático
190,53,F806FF47,4,2023-11-13,104.17,44.64,148.81,0,0,Transferencia
191,53,F806FF47,24,2022-01-12,1093.04,468.45,1561.49,25,65.06,Banca Móvil
192,53,F806FF47,54,2022-10-30,945.38,405.16,1350.55,8,18.01,Banca Móvil
193,53,F806FF47,18,2022-09-19,1287.2,551.66,1838.86,0,0,Transferencia
194,54,F806FF47,50,2022-08-23,1350.49,578.78,1929.27,0,0,Cheque
195,54,F806FF47,40,2023-07-01,500.18,214.36,714.54,45,53.59,Transferencia
196,54,F806FF47,47,2023-06-19,1029.63,441.27,1470.9,0,0,Cheque
197,54,F806FF47,10,2022-01-01,450.81,193.2,644.01,0,0,Banca Móvil
198,54,F806FF47,17,2022-08-17,987.26,423.11,1410.37,0,0,Transferencia
199,54,F806FF47,45,2022-01-31,312.07,133.75,445.82,0,0,Banca Móvil
200,54,F806FF47,27,2022-08-21,1335.24,572.24,1907.48,0,0,Banca Móvil
201,54,F806FF47,15,2023-07-31,353.19,151.37,504.56,40,33.64,Débito Automático
202,54,F806FF47,46,2023-01-11,394.51,169.07,563.58,0,0,Cheque
203,54,F806FF47,34,2022-01-24,783.69,335.87,1119.56,7,13.06,Transferencia
204,54,F806FF47,30,2022-10-18,1353.35,580.01,1933.36,0,0,Efectivo
205,54,F806FF47,59,2023-03-14,1269.77,544.19,1813.96,0,0,Transferencia
206,54,F806FF47,16,2023-10-31,1120.3,480.13,1600.43,56,149.37,Cheque
207,54,F806FF47,5,2022-09-08,109.07,46.75,155.82,0,0,Efectivo
208,54,F806FF47,41,2023-07-28,929.11,398.19,1327.3,0,0,Débito Automático
209,54,F806FF47,11,2023-11-26,353.13,151.34,504.47,0,0,Débito Automático
210,54,F806FF47,36,2023-11-07,760.77,326.04,1086.81,50,90.57,Cheque
211,54,F806FF47,13,2022-06-14,718.17,307.79,1025.96,13,22.23,Efectivo
212,54,F806FF47,24,2022-08-27,1097.87,470.51,1568.38,33,86.26,Débito Automático
213,54,F806FF47,30,2022-06-28,704.69,302.01,1006.7,12,20.13,Transferencia
214,54,F806FF47,16,2022-05-22,1309.18,561.08,1870.26,44,137.15,Débito Automático
215,54,F806FF47,54,2023-03-28,1335.82,572.5,1908.32,0,0,Transferencia
216,58,E5866C0A,39,2022-11-14,1340.96,574.7,1915.66,0,0,Cheque
217,58,E5866C0A,60,2022-06-16,385.63,165.27,550.9,0,0,Transferencia
218,58,E5866C0A,50,2022-03-10,423.56,181.52,605.08,0,0,Débito Automático
219,58,E5866C0A,44,2022-12-29,743.64,318.7,1062.34,0,0,Débito Automático
220,58,E5866C0A,21,2022-10-06,1393.15,597.06,1990.21,0,0,Banca Móvil
221,58,E5866C0A,52,2023-07-03,577.79,247.62,825.41,4,5.5,Débito Automático
222,58,E5866C0A,22,2022-11-21,334.09,143.18,477.27,0,0,Banca Móvil
223,58,E5866C0A,54,2022-06-29,1112.87,476.95,1589.82,10,26.5,Banca Móvil
224,58,E5866C0A,55,2022-04-06,1341.65,574.99,1916.64,0,0,Efectivo
225,58,E5866C0A,45,2023-02-03,1288.2,552.09,1840.29,0,0,Banca Móvil
226,58,E5866C0A,37,2022-09-08,805.55,345.23,1150.78,0,0,Efectivo
227,58,E5866C0A,48,2022-06-28,176.65,75.71,252.36,0,0,Cheque
228,58,E5866C0A,6,2023-04-24,1263.66,541.57,1805.23,0,0,Cheque
229,58,E5866C0A,15,2023-11-10,1177.49,504.64,1682.13,0,0,Efectivo
230,59,12981616,27,2023-03-19,954.32,409.0,1363.32,56,127.24,Débito Automático
231,59,12981616,58,2022-08-18,999.09,428.18,1427.27,58,137.97,Efectivo
232,59,12981616,46,2022-01-19,974.63,417.7,1392.33,54,125.31,Débito Automático
233,59,12981616,36,2022-08-19,861.78,369.33,1231.11,0,0,Banca Móvil
234,59,12981616,1,2023-12-11,175.02,75.01,250.03,0,0,Banca Móvil
235,59,12981616,5,2023-06-09,191.55,82.09,273.65,5,2.28,Débito Automático
236,59,12981616,23,2023-10-20,770.24,330.1,1100.35,0,0,Banca Móvil
237,59,12981616,21,2023-04-21,214.95,92.12,307.07,0,0,Débito Automático
238,59,12981616,24,2023-12-22,568.07,243.46,811.53,0,0,Transferencia
239,59,12981616,2,2023-05-13,290.84,124.64,415.48,0,0,Débito Automático
240,59,12981616,38,2022-08-21,1335.26,572.25,1907.51,0,0,Cheque
241,59,12981616,30,2022-03-31,739.33,316.86,1056.19,0,0,Banca Móvil
242,59,12981616,46,2023-08-22,1207.23,517.38,1724.61,0,0,Banca Móvil
243,59,12981616,3,2022-12-11,918.34,393.58,1311.92,32,69.97,Transferencia
244,59,12981616,26,2022-11-27,666.6,285.68,952.28,0,0,Efectivo
245,59,12981616,4,2022-02-01,175.52,75.22,250.74,0,0,Transferencia
246,59,12981616,3,2022-05-26,652.25,279.54,931.79,27,41.93,Transferencia
247,59,12981616,53,2022-03-07,183.55,78.66,262.21,0,0,Cheque
248,59,12981616,53,2022-07-12,198.23,84.95,283.18,0,0,Débito Automático
249,59,12981616,14,2023-01-16,1233.77,528.76,1762.53,39,114.56,Cheque
250,59,12981616,47,2022-06-09,703.34,301.43,1004.77,0,0,Débito Automático
251,59,12981616,41,2023-10-01,471.69,202.15,673.84,0,0,Cheque
252,59,12981616,14,2022-06-21,338.63,145.13,483.76,0,0,Transferencia
253,59,12981616,59,2022-03-02,263.38,112.88,376.26,0,0,Cheque
254,59,12981616,9,2023-03-29,1112.26,476.68,1588.94,20,52.96,Cheque
255,59,12981616,19,2023-10-09,1343.99,575.99,1919.98,0,0,Efectivo
256,59,12981616,56,2022-04-17,1036.14,444.06,1480.2,0,0,Efectivo
257,59,12981616,35,2022-11-13,981.07,420.46,1401.53,0,0,Cheque
258,59,12981616,26,2023-11-24,781.23,334.81,1116.04,0,0,Cheque
259,59,12981616,16,2022-05-27,446.89,191.52,638.41,35,37.24,Cheque
260,59,12981616,33,2023-02-01,813.21,348.52,1161.73,0,0,Efectivo
261,59,12981616,18,2022-10-16,250.62,107.41,358.03,0,0,Banca Móvil
262,59,12981616,30,2022-09-18,1368.34,586.43,1954.77,60,195.48,Débito Automático
263,59,12981616,33,2023-07-09,910.42,390.18,1300.6,0,0,Cheque
264,59,12981616,29,2022-07-28,767.81,329.06,1096.87,30,54.84,Débito Automático
265,59,12981616,13,2023-03-15,1210.45,518.76,1729.21,0,0,Cheque
266,60,12981616,34,2023-08-18,701.33,300.57,1001.9,0,0,Débito Automático
267,60,12981616,23,2023-01-23,906.79,388.62,1295.41,24,51.82,Transferencia
268,60,12981616,7,2023-10-27,133.01,57.0,190.01,0,0,Débito Automático
269,60,12981616,32,2022-09-23,887.36,380.3,1267.65,0,0,Débito Automático
270,60,12981616,34,2022-04-24,285.97,122.56,408.53,0,0,Efectivo
271,60,12981616,30,2023-02-06,1199.89,514.24,1714.13,41,117.13,Débito Automático
272,60,12981616,3,2023-12-29,243.47,104.35,347.82,0,0,Banca Móvil
273,60,12981616,5,2023-01-11,453.66,194.43,648.09,0,0,Cheque
274,60,12981616,36,2023-09-15,548.46,235.05,783.51,0,0,Efectivo
275,60,12981616,37,2023-04-10,436.59,187.11,623.7,0,0,Cheque
276,60,12981616,24,2022-09-27,169.3,72.56,241.86,0,0,Débito Automático
277,60,12981616,59,2023-07-22,573.51,245.79,819.3,0,0,Cheque
278,60,12981616,6,2022-01-07,157.21,67.38,224.59,0,0,Banca Móvil
279,60,12981616,24,2023-12-20,1262.92,541.25,1804.17,0,0,Banca Móvil
280,60,12981616,2,2022-04-23,377.8,161.92,539.72,0,0,Efectivo
281,60,12981616,26,2023-12-28,762.49,326.78,1089.27,9,16.34,Efectivo
282,60,12981616,38,2023-01-23,549.56,235.52,785.08,32,41.87,Cheque
283,60,12981616,18,2022-05-11,544.05,233.16,777.21,0,0,Banca Móvil
284,60,12981616,32,2022-08-24,256.9,110.1,367.0,0,0,Banca Móvil
285,60,12981616,23,2023-01-15,513.95,220.27,734.22,0,0,Banca Móvil
286,60,12981616,5,2022-01-23,690.05,295.73,985.78,0,0,Débito Automático
287,60,12981616,37,2022-10-11,1258.7,539.44,1798.14,0,0,Transferencia
288,60,12981616,54,2023-07-12,1027.87,440.52,1468.39,0,0,Transferencia
289,60,12981616,43,2023-10-11,367.18,157.36,524.55,0,0,Débito Automático
290,60,12981616,58,2023-10-20,1279.43,548.33,1827.76,46,140.13,Transferencia
291,60,12981616,49,2022-09-13,649.7,278.44,928.14,0,0,Débito Automático
292,60,12981616,6,2023-04-28,251.19,107.66,358.85,0,0,Cheque
293,60,12981616,18,2023-03-28,921.4,394.89,1316.29,3,6.58,Banca Móvil
294,60,12981616,39,2023-11-18,212.42,91.04,303.46,59,29.84,Efectivo
295,60,12981616,17,2023-02-16,916.98,392.99,1309.97,0,0,Débito Automático
296,64,FDD1694D,11,2023-07-01,1338.71,573.73,1912.44,50,159.37,Banca Móvil
297,64,FDD1694D,43,2023-10-18,1020.44,437.33,1457.77,0,0,Banca Móvil
298,64,FDD1694D,29,2022-01-24,350.52,150.22,500.75,0,0,Efectivo
299,64,FDD1694D,2,2022-02-27,1397.77,599.04,1996.81,0,0,Banca Móvil
300,64,FDD1694D,32,2023-12-07,1099.1,471.04,1570.14,12,31.4,Débito Automático
301,64,FDD1694D,15,2023-11-01,1283.25,549.97,1833.22,0,0,Cheque
302,64,FDD1694D,40,2023-11-29,580.2,248.66,828.86,0,0,Débito Automático
303,64,FDD1694D,4,2023-08-22,305.54,130.95,436.49,0,0,Débito Automático
304,64,FDD1694D,9,2022-02-25,546.8,234.34,781.14,0,0,Efectivo
305,64,FDD1694D,18,2022-07-31,596.16,255.5,851.66,0,0,Transferencia
306,64,FDD1694D,23,2022-02-14,830.47,355.91,1186.38,0,0,Cheque
307,65,FDD1694D,29,2022-06-01,617.57,264.67,882.24,0,0,Transferencia
308,65,FDD1694D,22,2023-11-01,933.41,400.03,1333.44,0,0,Débito Automático
309,65,FDD1694D,43,2023-06-25,217.63,93.27,310.9,43,22.28,Transferencia
310,65,FDD1694D,20,2023-07-09,453.02,194.15,647.17,5,5.39,Débito Automático
311,65,FDD1694D,12,2022-01-09,1168.69,500.87,1669.56,0,0,Cheque
312,65,FDD1694D,53,2023-12-24,1095.35,469.43,1564.78,0,0,Cheque
313,65,FDD1694D,49,2023-01-07,1253.99,537.42,1791.41,0,0,Cheque
314,69,1B183DD3,60,2022-09-20,549.92,235.68,785.6,0,0,Transferencia
315,69,1B183DD3,12,2022-02-13,807.26,345.97,1153.23,60,115.32,Cheque
316,69,1B183DD3,31,2022-08-21,356.75,152.89,509.64,0,0,Banca Móvil
317,69,1B183DD3,20,2022-05-27,639.89,274.24,914.13,0,0,Débito Automático
318,69,1B183DD3,37,2023-02-28,1263.49,541.49,1804.98,0,0,Transferencia
319,69,1B183DD3,6,2023-11-16,462.34,198.15,660.49,48,52.84,Transferencia
320,71,6E364259,5,2023-01-11,661.37,283.44,944.81,0,0,Cheque
321,71,6E364259,11,2022-11-27,1096.67,470.0,1566.67,17,44.39,Transferencia
322,71,6E364259,33,2022-10-26,145.14,62.2,207.35,0,0,Efectivo
323,71,6E364259,13,2023-04-05,906.16,388.36,1294.52,18,38.84,Cheque
324,71,6E364259,40,2022-06-09,1379.25,591.11,1970.36,0,0,Débito Automático
325,71,6E364259,11,2023-01-22,812.09,348.04,1160.13,0,0,Transferencia
